time_seconds,x,y
0,203,432
1,203,444
2,272,11
3,1,9
4,2,12
5,2,14
6,3,15
7,3,16
8,3,17
9,3,17
10,3,17
11,3,17
12,3,17
13,3,17
14,3,17
15,3,17
16,3,17
17,3,18
18,3,18
19,3,18
20,3,18
21,3,18
22,3,18
23,3,18
24,3,18
25,3,18
26,7,683
27,4,20
28,4,20
29,20,692
30,27,694
31,28,693
32,25,689
33,20,679
34,22,674
35,26,675
36,27,676
37,25,675
38,21,673
39,18,663
40,15,674
41,11,664
42,4,21
43,14,709
44,8,669
45,11,670
46,12,686
47,13,682
48,13,685
49,13,687
50,13,691
51,11,46
52,8,690
53,11,702
54,9,699
55,10,703
56,9,695
57,7,705
58,6,706
59,6,694
60,6,692
61,7,691
62,807,18
63,807,18
64,808,17
65,809,14
66,811,12
67,811,10
68,811,9
69,812,9
70,6,701
71,11,689
72,4,708
73,812,8
74,812,8
75,812,8
76,812,8
77,812,8
78,812,8
79,812,8
80,812,8
81,812,8
82,2,676
83,50,549
84,812,8
85,2,704
86,812,8
87,39,558
88,812,9
89,4,703
90,5,703
91,9,701
92,10,700
93,10,699
94,10,699
95,10,699
96,12,698
97,12,692
98,810,12
99,806,19
100,807,19
101,806,19
102,808,17
103,809,14
104,810,11
105,8,670
106,6,663
107,5,659
108,5,660
109,13,678
110,5,662
111,7,664
112,5,660
113,6,665
114,4,658
115,4,657
116,6,661
117,5,658
118,6,658
119,5,662
120,5,663
121,5,660
122,5,663
123,6,664
124,5,659
125,5,658
126,5,661
127,10,673
128,3,652
129,6,663
130,6,664
131,7,664
132,12,675
133,5,658
134,6,664
135,5,661
136,13,677
137,6,661
138,5,660
139,13,677
140,6,662
141,6,664
142,8,669
143,6,663
144,6,665
145,7,663
146,6,664
147,7,666
148,13,680
149,7,665
150,6,663
151,6,662
152,807,19
153,808,16
154,810,13
155,9,669
156,7,666
157,7,668
158,5,666
159,811,9
160,6,665
161,812,9
162,38,560
163,5,665
164,6,665
165,6,663
166,4,660
167,4,663
168,5,664
169,5,661
170,6,661
171,3,663
172,6,664
173,5,663
174,5,661
175,812,9
176,5,662
177,5,663
178,4,666
179,6,666
180,4,657
181,6,664
182,4,659
183,5,665
184,5,663
185,6,670
186,37,562
187,5,662
188,5,665
189,6,664
190,5,663
191,5,667
192,4,657
193,5,664
194,6,665
195,6,666
196,5,663
197,5,659
198,5,663
199,6,662
200,6,662
201,5,661
202,5,664
203,5,661
204,5,663
205,7,666
206,5,663
207,5,660
208,5,663
209,5,661
210,13,679
211,5,666
212,6,663
213,13,678
214,4,659
215,812,9
216,812,9
217,812,9
218,812,9
219,812,9
220,812,9
221,812,9
222,812,9
223,811,9
224,811,8
225,812,9
226,812,9
227,812,9
228,812,9
229,812,9
230,812,9
231,812,9
232,812,9
233,812,9
234,812,9
235,812,9
236,812,9
237,812,9
238,812,9
239,812,9
240,812,9
241,812,9
242,811,9
243,812,9
244,812,9
245,812,9
246,812,9
247,811,9
248,812,9
249,812,9
250,812,9
251,812,9
252,812,9
253,812,9
254,812,9
255,812,9
256,811,9
257,811,9
258,812,9
259,812,9
260,812,9
261,812,9
262,811,9
263,812,9
264,811,9
265,812,9
266,812,9
267,812,9
268,812,9
269,812,9
270,812,9
271,812,9
272,812,9
273,811,9
274,811,9
275,811,9
276,811,10
277,811,9
278,811,9
279,812,9
280,811,9
281,812,9
282,812,9
283,812,9
284,812,9
285,811,9
286,811,10
287,811,9
288,812,9
289,812,9
290,812,9
291,812,9
292,811,9
293,811,9
294,811,10
295,811,10
296,811,10
297,811,9
298,811,9
299,812,9
300,811,9
301,6,701
302,9,701
303,30,708
304,45,709
305,51,708
306,51,708
307,58,709
308,62,709
309,65,709
310,75,709
311,82,709
312,76,707
313,78,708
314,76,700
315,99,710
316,113,711
317,62,689
318,67,690
